"city","pm25","temperature","risk_score","level","avg_pm25","spike","time","diff"
"Chennai","49.1","26.2","42.23","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Kolkata","34.9","26.8","32.47","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Bangalore","21.9","29.0","24.029999999999998","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Delhi","31.7","24.8","29.629999999999995","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Mumbai","62.9","26.9","52.099999999999994","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Kolkata","34.9","26.8","32.47","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Mumbai","51.5","27.1","44.18","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Mumbai","51.5","27.1","44.18","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Mumbai","54.4","27.1","46.21","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Kolkata","34.9","26.6","32.41","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Delhi","29.8","27.2","29.02","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Delhi","28.6","27.3","28.21","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Bangalore","22.1","29.2","24.23","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Kolkata","64.7","23.2","52.25","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Delhi","30.7","30.0","30.49","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Chennai","10.9","25.5","15.28","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Kolkata","34.9","26.6","32.41","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Chennai","47.8","29.4","42.279999999999994","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Delhi","31.7","24.1","29.419999999999998","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Chennai","10.9","25.5","15.28","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Mumbai","51.5","27.1","44.18","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Delhi","31.7","24.8","29.629999999999995","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Delhi","31.7","24.8","29.629999999999995","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Bangalore","21.2","22.5","21.589999999999996","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Chennai","10.9","25.5","15.28","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Bangalore","22.6","26.7","23.83","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Chennai","47.8","29.4","42.279999999999994","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Kolkata","64.7","23.2","52.25","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Bangalore","22.1","29.1","24.200000000000003","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Chennai","49.1","26.7","42.379999999999995","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Delhi","108.7","19.7","82.0","MODERATE","65.39204545454545","NORMAL","1772127518116","1"
"Kolkata","34.9","26.6","32.41","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Kolkata","43.5","24.1","37.68","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Chennai","48.5","30.0","42.949999999999996","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Chennai","48.5","30.0","42.949999999999996","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Delhi","108.7","19.5","81.94","MODERATE","65.39204545454545","NORMAL","1772127518116","1"
"Chennai","49.1","26.2","42.23","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Mumbai","54.4","27.1","46.21","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Delhi","29.8","27.2","29.02","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Bangalore","22.6","27.2","23.98","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Kolkata","64.7","23.2","52.25","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Kolkata","34.9","26.8","32.47","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Delhi","30.7","30.0","30.49","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Delhi","29.8","27.2","29.02","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Delhi","28.9","27.0","28.33","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Kolkata","34.9","26.8","32.47","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Chennai","47.8","29.7","42.36999999999999","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Delhi","30.7","30.0","30.49","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Delhi","100.0","30.0","79.0","MODERATE","65.39204545454545","NORMAL","1772127518116","1"
"Kolkata","42.3","27.0","37.709999999999994","LOW","43.96779661016949","NORMAL","1772127518116","1"
"Mumbai","49.7","27.1","42.92","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Mumbai","57.2","27.1","48.17","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Bangalore","22.1","29.2","24.23","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Mumbai","49.7","27.1","42.92","LOW","62.953968253968256","NORMAL","1772127518116","1"
"Delhi","29.8","27.2","29.02","LOW","65.39204545454545","NORMAL","1772127518116","1"
"Delhi","800.0","50.0","575.0","SEVERE","65.39204545454545","SPIKE","1772127518116","1"
"Chennai","47.8","29.4","42.279999999999994","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Delhi","108.7","19.7","82.0","MODERATE","65.39204545454545","NORMAL","1772127518116","1"
"Chennai","48.5","30.3","43.03999999999999","LOW","40.91967213114754","NORMAL","1772127518116","1"
"Bangalore","22.1","29.2","24.23","LOW","22.314754098360655","NORMAL","1772127518116","1"
"Delhi","30.7","30.0","30.49","LOW","65.39204545454545","NORMAL","1772127518116","1"
